Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Virgil van Dijk,NED,DF,28,38,38,3420,5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.8,2.8,1.3,0.07,0.03,0.11,0.07,0.11,Matches
Trent Alexander-Arnold,ENG,DF,20,38,35,3175,4,13,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.9,2.9,9.7,0.08,0.27,0.36,0.08,0.36,Matches
Georginio Wijnaldum,NED,MF,28,37,35,2935,4,0,0,0,0,0,0.12,0,0.12,0.12,0.12,3,3,1.3,0.09,0.04,0.13,0.09,0.13,Matches
Andrew Robertson,SCO,DF,25,36,34,3111,2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.3,0.05,0.21,0.26,0.05,0.26,Matches
Roberto Firmino,BRA,FW,27,38,34,2988,9,8,0,0,0,0,0.27,0.24,0.51,0.27,0.51,13.4,13.4,6.1,0.4,0.18,0.59,0.4,0.59,Matches
Mohamed Salah,EGY,FW,27,34,33,2876,19,10,3,3,1,0,0.59,0.31,0.91,0.5,0.81,19.2,16.9,7.1,0.6,0.22,0.82,0.53,0.75,Matches
Sadio Mané,SEN,FW,27,35,31,2747,18,7,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.5,13.5,7,0.44,0.23,0.67,0.44,0.67,Matches
Alisson,BRA,GK,26,29,29,2543,0,1,0,0,0,1,0,0.04,0.04,0,0.04,0,0,0.4,0,0.02,0.02,0,0.02,Matches
Jordan Henderson,ENG,MF,29,30,26,2238,4,5,0,0,2,0,0.16,0.2,0.36,0.16,0.36,1.4,1.4,2.9,0.06,0.11,0.17,0.06,0.17,Matches
Fabinho,BRA,MF,25,28,22,2079,2,3,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.8,0.02,0.08,0.09,0.02,0.09,Matches
Joe Gomez,ENG,DF,22,28,22,2004,0,0,0,0,7,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,Matches
Alex Oxlade-Chamberlain,ENG,MFFW,25,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.3,0.24,0.3,3,3,1.3,0.18,0.08,0.26,0.18,0.26,Matches
James Milner,ENG,MFDF,33,22,9,937,2,2,2,2,4,0,0.19,0.19,0.38,0,0.19,2.1,0.6,0.7,0.2,0.07,0.27,0.05,0.12,Matches
Adrian,ESP,GK,32,11,9,875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Naby Keita,GUI,MF,24,18,9,815,2,3,0,0,1,0,0.22,0.33,0.55,0.22,0.55,1.6,1.6,2.3,0.17,0.25,0.43,0.17,0.43,Matches
Dejan Lovren,CRO,DF,30,10,9,777,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.3,0.3,0.3,0.04,0.04,0.07,0.04,0.07,Matches
Joel Matip,CMR,DF,27,9,8,703,1,0,0,0,0,0,0.13,0,0.13,0.13,0.13,0.3,0.3,0,0.04,0,0.04,0.04,0.04,Matches
Divock Origi,BEL,FW,24,28,7,717,4,1,0,0,1,0,0.5,0.13,0.63,0.5,0.63,2,2,0.2,0.25,0.03,0.28,0.25,0.28,Matches
Adam Lallana,ENG,MFFW,31,15,3,382,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,1,1,0.8,0.25,0.18,0.42,0.25,0.42,Matches
Neco Williams,WAL,DF,18,6,3,230,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.1,0.04,0.14,0.1,0.14,Matches
Takumi Minamino,JPN,FWMF,24,10,2,249,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0,0.52,0.01,0.53,0.52,0.53,Matches
Xherdan Shaqiri,SUI,FW,27,7,2,185,1,0,0,0,0,0,0.49,0,0.49,0.49,0.49,0.5,0.5,0.2,0.23,0.11,0.34,0.23,0.34,Matches
Curtis Jones,ENG,MF,18,6,1,126,1,0,0,0,0,0,0.71,0,0.71,0.71,0.71,0.9,0.9,0,0.63,0,0.63,0.63,0.63,Matches
Harvey Elliot,ENG,DF,16,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
